step,splaynet,central_splaynet,full_binary,static_optimal
1000,8.959,8.004,7.595,6.989
2000,8.905,8.029,7.635,6.875
3000,8.96333,8.12433,7.67433,6.87567
4000,9.054,8.19625,7.70625,6.93175
5000,9.06,8.2098,7.7066,6.9948
