step,splaynet,central_splaynet,full_binary,static_optimal
1000,13.9027,13.2875,13.9381,12.4633
2000,13.8774,13.264050000000001,13.969850000000003,12.494700000000002
3000,13.924299999999999,13.306030000000002,13.96854,12.48854
4000,13.969909999999999,13.35735,13.968169999999997,12.50006
5000,13.958679999999998,13.350840000000002,13.964580000000002,12.512060000000002
6000,13.96575,13.355169999999998,13.95634,12.50545
7000,13.95175,13.339829999999997,13.952670000000001,12.509950000000002
8000,13.953100000000001,13.34247,13.94898,12.495430000000002
9000,13.954820000000002,13.342940000000002,13.94161,12.48331
10000,13.952360000000002,13.34177,13.943119999999999,12.489740000000001
11000,13.94047,13.33174,13.9451,12.49173
12000,13.9416,13.33272,13.93902,12.492230000000001
13000,13.94616,13.337529999999997,13.93734,12.493369999999999
14000,13.95307,13.34401,13.93626,12.49082
15000,13.95257,13.342459999999999,13.938089999999999,12.48843
16000,13.943850000000003,13.33441,13.9391,12.49184
17000,13.937850000000001,13.329519999999999,13.939819999999997,12.49125
18000,13.92989,13.3222,13.940449999999998,12.493540000000001
19000,13.934780000000003,13.327090000000002,13.937890000000001,12.49489
20000,13.93699,13.329339999999998,13.94062,12.49737
21000,13.94377,13.33433,13.9455,12.499869999999998
22000,13.94941,13.338010000000002,13.94135,12.496410000000001
23000,13.95054,13.337990000000001,13.93749,12.497980000000002
24000,13.95121,13.33818,13.940019999999999,12.49713
25000,13.95063,13.336429999999998,13.939589999999999,12.496199999999998
26000,13.94813,13.335379999999997,13.93605,12.49685
27000,13.943340000000001,13.3321,13.937279999999998,12.49503
28000,13.943759999999997,13.331040000000002,13.93825,12.49686
29000,13.947669999999999,13.333680000000001,13.938780000000003,12.494549999999998
30000,13.944799999999997,13.331029999999998,13.93999,12.494769999999999
31000,13.94442,13.33136,13.94059,12.495160000000002
32000,13.94562,13.33174,13.94024,12.494290000000001
33000,13.944459999999998,13.33126,13.940190000000001,12.493640000000003
34000,13.9483,13.33485,13.942020000000003,12.495299999999999
35000,13.946980000000002,13.334129999999998,13.94086,12.494060000000001
36000,13.95083,13.338040000000001,13.9432,12.49438
37000,13.951790000000003,13.339489999999998,13.94501,12.49473
38000,13.953710000000001,13.341539999999998,13.944549999999998,12.49548
39000,13.953400000000002,13.341159999999999,13.945879999999999,12.495560000000001
40000,13.950889999999998,13.33938,13.945909999999998,12.496579999999998
41000,13.951520000000002,13.340799999999998,13.94622,12.497380000000001
42000,13.95195,13.341159999999999,13.946540000000002,12.497209999999999
43000,13.952210000000003,13.34235,13.947460000000001,12.49713
44000,13.949430000000001,13.33972,13.94633,12.496239999999998
45000,13.949890000000002,13.34005,13.94565,12.49569
46000,13.943109999999999,13.333689999999999,13.946299999999999,12.496089999999999
47000,13.946860000000001,13.33635,13.945920000000001,12.49634
48000,13.94669,13.33665,13.947669999999999,12.496410000000001
49000,13.94771,13.338650000000001,13.94823,12.49814
50000,13.94716,13.338489999999998,13.947889999999997,12.49927
51000,13.948760000000002,13.33998,13.947260000000004,12.498250000000002
52000,13.94828,13.33978,13.948269999999999,12.500000000000002
53000,13.94778,13.339879999999999,13.949279999999998,12.50132
54000,13.948330000000002,13.340770000000001,13.949640000000002,12.49989
55000,13.94719,13.33903,13.949090000000002,12.49938
56000,13.947170000000003,13.339099999999998,13.949159999999997,12.50022
57000,13.94693,13.3392,13.948650000000004,12.50086
58000,13.945759999999998,13.33863,13.949250000000001,12.500989999999998
59000,13.944149999999999,13.337740000000002,13.94812,12.50001
60000,13.94483,13.338919999999998,13.94857,12.49967
61000,13.94438,13.338840000000001,13.94869,12.500050000000002
62000,13.944729999999998,13.339120000000003,13.94812,12.49964
63000,13.94419,13.33811,13.94733,12.499090000000002
64000,13.944729999999998,13.338379999999997,13.948220000000001,12.498619999999999
65000,13.94539,13.338669999999999,13.949710000000001,12.499469999999999
66000,13.946509999999998,13.339540000000003,13.950130000000001,12.499349999999998
67000,13.945600000000002,13.338569999999999,13.9505,12.49862
68000,13.94417,13.336810000000003,13.95072,12.498869999999998
69000,13.94444,13.33662,13.95112,12.49921
70000,13.943169999999999,13.3357,13.95072,12.498809999999999
71000,13.94221,13.335280000000001,13.95074,12.49945
72000,13.94205,13.334099999999998,13.95129,12.49972
73000,13.94049,13.33269,13.951659999999999,12.499529999999998
74000,13.940699999999998,13.33375,13.95181,12.4988
75000,13.938149999999998,13.332089999999999,13.95187,12.49793
76000,13.93731,13.331550000000002,13.95284,12.49845
77000,13.937800000000001,13.331880000000002,13.95248,12.498009999999999
78000,13.93798,13.331620000000001,13.952000000000002,12.49878
79000,13.93769,13.331489999999999,13.95127,12.498289999999999
80000,13.938359999999998,13.33244,13.951020000000003,12.49795
81000,13.939610000000002,13.333400000000001,13.950769999999997,12.4977
82000,13.93902,13.33302,13.95099,12.49752
83000,13.94119,13.334890000000001,13.95095,12.49781
84000,13.94189,13.335729999999998,13.95094,12.4971
85000,13.941129999999998,13.33551,13.951419999999999,12.49714
86000,13.94092,13.334709999999998,13.95114,12.496860000000002
87000,13.9404,13.334089999999998,13.951509999999999,12.49707
88000,13.94105,13.33456,13.950790000000001,12.496649999999999
89000,13.940610000000001,13.33414,13.951159999999998,12.496680000000001
90000,13.939929999999999,13.33338,13.95171,12.497580000000001
91000,13.94038,13.33389,13.95235,12.498050000000001
92000,13.938310000000001,13.332339999999999,13.95198,12.497650000000002
93000,13.93948,13.33353,13.951799999999997,12.49832
94000,13.938740000000001,13.33296,13.95147,12.49835
95000,13.93862,13.332550000000001,13.9515,12.498009999999999
96000,13.939609999999998,13.33251,13.95062,12.49797
97000,13.93957,13.33238,13.94999,12.49804
98000,13.939490000000001,13.33236,13.95087,12.49774
99000,13.93946,13.33196,13.95126,12.49735
