step,splaynet,central_splaynet,full_binary,static_optimal
1000,11.471,11.083499999999999,14.2323,12.732700000000003
2000,11.49605,11.123099999999999,14.228199999999998,12.68785
3000,11.422979999999999,11.06029,14.206400000000002,12.644759999999998
4000,11.42572,11.05938,14.211590000000001,12.650109999999998
5000,11.43972,11.0639,14.214859999999998,12.642280000000001
6000,11.45741,11.079869999999998,14.215949999999998,12.64013
7000,11.457040000000003,11.07881,14.214260000000001,12.631000000000002
8000,11.442219999999999,11.0663,14.215110000000001,12.62501
9000,11.44915,11.0741,14.21117,12.621910000000002
10000,11.45673,11.07917,14.212799999999998,12.623000000000001
11000,11.45228,11.072189999999997,14.205190000000002,12.62351
12000,11.455289999999998,11.07593,14.205329999999998,12.624649999999999
13000,11.46112,11.082629999999998,14.20695,12.62422
14000,11.449030000000002,11.07301,14.20445,12.623650000000001
15000,11.447280000000003,11.073820000000001,14.209100000000001,12.6232
16000,11.45307,11.07703,14.20968,12.62369
17000,11.44189,11.069910000000002,14.211310000000001,12.62435
18000,11.44248,11.072259999999998,14.21784,12.625360000000002
19000,11.446499999999999,11.074769999999997,14.21605,12.6221
20000,11.452680000000003,11.081010000000001,14.219640000000002,12.62434
21000,11.448710000000002,11.078300000000002,14.218399999999999,12.623169999999998
22000,11.453149999999999,11.082600000000001,14.219129999999998,12.62187
23000,11.448610000000002,11.077749999999998,14.21941,12.622070000000003
24000,11.45258,11.08134,14.2183,12.62383
25000,11.460509999999996,11.08751,14.21824,12.625050000000002
26000,11.458929999999999,11.086639999999997,14.215980000000002,12.625240000000002
27000,11.4565,11.082550000000001,14.21493,12.62579
28000,11.457760000000002,11.082899999999999,14.21489,12.62698
29000,11.45981,11.084929999999998,14.21448,12.62785
30000,11.464649999999997,11.08908,14.215,12.628370000000002
31000,11.45985,11.08411,14.21339,12.62699
32000,11.460550000000001,11.08458,14.215220000000002,12.627439999999998
33000,11.460739999999998,11.085139999999999,14.212520000000001,12.62722
34000,11.459619999999997,11.08473,14.212550000000002,12.62671
35000,11.458369999999999,11.083169999999999,14.211250000000001,12.62459
36000,11.464010000000002,11.08908,14.213470000000001,12.625429999999998
37000,11.46296,11.087250000000001,14.216230000000001,12.6279
38000,11.464050000000002,11.088910000000002,14.216,12.62734
39000,11.46722,11.09215,14.216339999999999,12.628029999999999
40000,11.472090000000001,11.097,14.21694,12.6286
41000,11.468990000000002,11.094919999999998,14.216209999999998,12.6266
42000,11.46963,11.09544,14.21806,12.62692
43000,11.46811,11.09403,14.2179,12.62523
44000,11.467900000000002,11.09408,14.217830000000001,12.625490000000001
45000,11.471250000000001,11.09778,14.216280000000001,12.623819999999998
46000,11.47158,11.097240000000003,14.214789999999999,12.62532
47000,11.46979,11.095690000000001,14.21591,12.62364
48000,11.46932,11.09463,14.21473,12.622539999999999
49000,11.469809999999999,11.09576,14.21538,12.62363
50000,11.4697,11.09464,14.215610000000002,12.622020000000001
51000,11.47081,11.09515,14.21572,12.62107
52000,11.47221,11.096439999999998,14.21705,12.622609999999998
53000,11.47106,11.09477,14.21757,12.622760000000001
54000,11.468929999999999,11.09211,14.216699999999998,12.622609999999998
55000,11.46766,11.090699999999998,14.214850000000002,12.62036
56000,11.469620000000003,11.091899999999999,14.21489,12.62079
57000,11.47002,11.09235,14.215219999999999,12.620970000000003
58000,11.47075,11.09184,14.21558,12.619760000000001
59000,11.47126,11.091690000000002,14.21491,12.618579999999998
60000,11.470410000000001,11.09094,14.213490000000002,12.618239999999997
61000,11.46979,11.09039,14.214430000000002,12.617550000000001
62000,11.470609999999997,11.09134,14.21404,12.61781
63000,11.469709999999997,11.090779999999999,14.2152,12.618550000000003
64000,11.47204,11.092459999999999,14.214579999999998,12.61831
65000,11.47198,11.0929,14.214479999999998,12.617929999999998
66000,11.47129,11.09248,14.215609999999998,12.61889
67000,11.471009999999998,11.09208,14.216129999999998,12.619089999999998
68000,11.471929999999999,11.09315,14.216600000000003,12.61882
