step,splaynet,central_splaynet,full_binary
1000,30.731900000000003,29.6957,23.973100000000002
2000,31.4503,30.401849999999996,24.00965
3000,31.766949999999998,30.723809999999997,23.997830000000004
4000,31.95015,30.908949999999997,23.989210000000003
5000,32.0813,31.051620000000003,23.98988
6000,32.17407,31.152049999999996,23.98441
7000,32.240809999999996,31.21356,23.991269999999997
8000,32.298,31.273450000000004,23.9901
9000,32.34104,31.315950000000004,23.98806
10000,32.376250000000006,31.353199999999994,23.99335
11000,32.40807,31.388759999999998,23.992749999999997
12000,32.42778,31.404870000000006,23.981820000000003
13000,32.451170000000005,31.426699999999993,23.980449999999998
14000,32.464819999999996,31.438759999999995,23.974939999999997
15000,32.48155,31.452549999999995,23.97276
16000,32.49333,31.458990000000007,23.97337
17000,32.507850000000005,31.473540000000003,23.97377
18000,32.51825,31.48678,23.978740000000002
19000,32.52662,31.49631,23.98082
20000,32.53533,31.505100000000006,23.979920000000003
21000,32.541909999999994,31.513170000000002,23.984399999999997
22000,32.54537,31.51517,23.98264
23000,32.55358,31.52303,23.984200000000005
24000,32.56057,31.528699999999997,23.98235
25000,32.56299,31.530569999999994,23.98197
26000,32.56846,31.536279999999998,23.981499999999997
27000,32.57342,31.54086,23.98193
28000,32.576319999999996,31.544869999999996,23.983269999999997
29000,32.576139999999995,31.54394,23.98095
30000,32.579429999999995,31.546190000000003,23.97976
31000,32.58446,31.551180000000006,23.981109999999997
32000,32.58767999999999,31.55319,23.98053
33000,32.59438,31.559379999999997,23.982599999999998
34000,32.59391000000001,31.560399999999998,23.98113
35000,32.59532,31.561659999999996,23.979380000000003
36000,32.601209999999995,31.566339999999997,23.98126
37000,32.60463,31.56915,23.982829999999996
38000,32.606649999999995,31.570950000000003,23.983079999999998
39000,32.60955,31.57448,23.98421
40000,32.61171,31.5757,23.983490000000003
41000,32.61271,31.57495000000001,23.982779999999998
42000,32.61376,31.576060000000002,23.983569999999997
43000,32.615190000000005,31.576299999999996,23.98471
44000,32.61743,31.57823,23.98451
45000,32.619550000000004,31.581619999999997,23.98452
46000,32.62218,31.58415,23.985000000000003
